Epoch 0: TrainLoss=2.581503e+02, EvalMSE=6.813159e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.486568e+02, EvalMSE=9.265057e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.083961e+01, EvalMSE=1.163016e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.965257e+01, EvalMSE=1.000208e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=4.919172e+01, EvalMSE=8.974872e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.367739e+01, EvalMSE=8.252988e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.016717e+01, EvalMSE=7.401172e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=3.791348e+01, EvalMSE=5.943769e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=3.628736e+01, EvalMSE=5.460460e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=3.477156e+01, EvalMSE=5.078113e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.296190e+01, EvalMSE=4.727633e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.033554e+01, EvalMSE=4.845241e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=2.763827e+01, EvalMSE=4.480628e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.549389e+01, EvalMSE=3.509845e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.367880e+01, EvalMSE=2.997591e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.206669e+01, EvalMSE=2.612529e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.059870e+01, EvalMSE=2.426729e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.929161e+01, EvalMSE=2.325661e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.797866e+01, EvalMSE=2.262798e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.683926e+01, EvalMSE=2.146005e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.589847e+01, EvalMSE=2.014260e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.513134e+01, EvalMSE=1.931611e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.445761e+01, EvalMSE=1.880727e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.364892e+01, EvalMSE=1.908060e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.298774e+01, EvalMSE=1.952152e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.243156e+01, EvalMSE=2.013691e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.193449e+01, EvalMSE=2.067198e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.144875e+01, EvalMSE=2.116607e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.101337e+01, EvalMSE=2.159556e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.057113e+01, EvalMSE=2.211992e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.015039e+01, EvalMSE=2.292536e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=9.760214e+00, EvalMSE=2.389751e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=9.200736e+00, EvalMSE=2.961724e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=8.644634e+00, EvalMSE=3.281915e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=8.283604e+00, EvalMSE=3.409046e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.428715e+02, EvalMSE=6.839665e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.440625e+02, EvalMSE=8.737969e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.881428e+01, EvalMSE=1.014088e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.781498e+01, EvalMSE=8.266689e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.737728e+01, EvalMSE=6.824426e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.182707e+01, EvalMSE=5.898093e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.829958e+01, EvalMSE=5.396254e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.550107e+01, EvalMSE=5.111055e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.293390e+01, EvalMSE=4.950724e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.011549e+01, EvalMSE=4.793890e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.580991e+01, EvalMSE=4.494930e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.185716e+01, EvalMSE=4.393994e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=2.849039e+01, EvalMSE=3.737640e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.570533e+01, EvalMSE=3.357608e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.320982e+01, EvalMSE=2.994514e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.126674e+01, EvalMSE=2.782735e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.971225e+01, EvalMSE=2.635928e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.820675e+01, EvalMSE=2.519574e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.707372e+01, EvalMSE=2.384376e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.610420e+01, EvalMSE=2.270380e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.507142e+01, EvalMSE=2.119374e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.311775e+01, EvalMSE=2.035401e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.211543e+01, EvalMSE=1.971678e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
