Epoch 0: TrainLoss=4.082549e+00, Pen=2.162499e+00, EvalMSE=6.677474e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 100: TrainLoss=9.273952e-01, Pen=4.814088e-01, EvalMSE=6.268816e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 200: TrainLoss=5.342115e-01, Pen=4.875489e-01, EvalMSE=5.846246e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 300: TrainLoss=3.391803e-01, Pen=3.968879e-01, EvalMSE=5.342396e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.017754e-01, Pen=3.449996e-01, EvalMSE=4.934661e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.237965e-01, Pen=3.189370e-01, EvalMSE=4.654583e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 600: TrainLoss=8.160009e-02, Pen=3.041240e-01, EvalMSE=4.439740e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.915690e-02, Pen=2.927056e-01, EvalMSE=4.278506e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.521243e-02, Pen=2.815652e-01, EvalMSE=4.143445e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 900: TrainLoss=3.496639e-02, Pen=2.699341e-01, EvalMSE=4.019947e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.711401e-02, Pen=2.587677e-01, EvalMSE=3.908820e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=2.104113e-02, Pen=2.486980e-01, EvalMSE=3.808553e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.629436e-02, Pen=2.401066e-01, EvalMSE=3.720362e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.260623e-02, Pen=2.331442e-01, EvalMSE=3.646082e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=9.823035e-03, Pen=2.276698e-01, EvalMSE=3.585972e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=7.808080e-03, Pen=2.234325e-01, EvalMSE=3.538967e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=6.401774e-03, Pen=2.202021e-01, EvalMSE=3.503352e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=5.441225e-03, Pen=2.177811e-01, EvalMSE=3.477172e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=4.787139e-03, Pen=2.159908e-01, EvalMSE=3.458444e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=4.334958e-03, Pen=2.146724e-01, EvalMSE=3.445347e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=4.013100e-03, Pen=2.136918e-01, EvalMSE=3.436335e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=3.775663e-03, Pen=2.129409e-01, EvalMSE=3.430162e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=3.594104e-03, Pen=2.123386e-01, EvalMSE=3.425880e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=3.450355e-03, Pen=2.118290e-01, EvalMSE=3.422818e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=3.332207e-03, Pen=2.113745e-01, EvalMSE=3.420528e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=3.231077e-03, Pen=2.109426e-01, EvalMSE=3.418707e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.142251e-03, Pen=2.104916e-01, EvalMSE=3.417094e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=3.066496e-03, Pen=2.099836e-01, EvalMSE=3.415446e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=3.005604e-03, Pen=2.094376e-01, EvalMSE=3.413718e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.958005e-03, Pen=2.089031e-01, EvalMSE=3.412054e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=2.921733e-03, Pen=2.084025e-01, EvalMSE=3.410566e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=2.894465e-03, Pen=2.079446e-01, EvalMSE=3.409321e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=2.873830e-03, Pen=2.075332e-01, EvalMSE=3.408358e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
