Epoch 0: TrainLoss=5.666239e+01, Pen=6.237369e-01, EvalMSE=6.746091e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.299513e+01, Pen=3.431052e-02, EvalMSE=7.800761e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.122089e+01, Pen=8.277878e-01, EvalMSE=9.387301e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=8.168540e+00, Pen=1.287376e+00, EvalMSE=8.794167e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=6.256832e+00, Pen=9.007304e-01, EvalMSE=8.155542e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.828591e+00, Pen=6.149012e-01, EvalMSE=7.400724e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.706085e+00, Pen=3.991756e-01, EvalMSE=6.517793e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.859855e+00, Pen=2.970389e-01, EvalMSE=5.824036e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.209009e+00, Pen=2.616076e-01, EvalMSE=5.435333e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.785547e+00, Pen=2.389702e-01, EvalMSE=5.230644e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.523432e+00, Pen=2.252310e-01, EvalMSE=5.030656e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.349942e+00, Pen=2.134652e-01, EvalMSE=4.852545e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.228721e+00, Pen=2.020407e-01, EvalMSE=4.680726e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.139250e+00, Pen=1.899197e-01, EvalMSE=4.499021e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.068942e+00, Pen=1.783885e-01, EvalMSE=4.305289e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.011225e+00, Pen=1.696580e-01, EvalMSE=4.114814e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=9.599941e-01, Pen=1.630828e-01, EvalMSE=3.926470e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=9.089561e-01, Pen=1.572358e-01, EvalMSE=3.725720e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=8.531281e-01, Pen=1.517348e-01, EvalMSE=3.502602e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=7.899991e-01, Pen=1.464286e-01, EvalMSE=3.256647e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=7.214893e-01, Pen=1.390210e-01, EvalMSE=3.005306e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=6.521143e-01, Pen=1.262726e-01, EvalMSE=2.774245e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=5.860388e-01, Pen=1.107083e-01, EvalMSE=2.579752e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=5.254747e-01, Pen=9.633619e-02, EvalMSE=2.423652e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=4.705831e-01, Pen=8.379498e-02, EvalMSE=2.294127e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=4.200348e-01, Pen=7.280288e-02, EvalMSE=2.170540e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=3.702375e-01, Pen=6.355358e-02, EvalMSE=2.021941e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=3.143482e-01, Pen=5.649801e-02, EvalMSE=1.807697e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.582469e-01, Pen=5.279252e-02, EvalMSE=1.570743e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.161177e-01, Pen=5.053282e-02, EvalMSE=1.406422e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.860452e-01, Pen=4.845037e-02, EvalMSE=1.311654e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.644179e-01, Pen=4.643969e-02, EvalMSE=1.255686e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.486591e-01, Pen=4.462966e-02, EvalMSE=1.220903e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.367179e-01, Pen=4.320328e-02, EvalMSE=1.202630e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.271292e-01, Pen=4.216495e-02, EvalMSE=1.198024e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 0: TrainLoss=3.883491e+01, Pen=2.095747e+00, EvalMSE=6.677927e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.750551e+01, Pen=4.155636e-02, EvalMSE=7.054514e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.501233e+00, Pen=3.569986e-01, EvalMSE=7.486684e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.676365e+00, Pen=4.850862e-01, EvalMSE=6.855284e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=4.800058e+00, Pen=4.925921e-01, EvalMSE=6.380223e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=3.477602e+00, Pen=4.195281e-01, EvalMSE=5.967730e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=2.587374e+00, Pen=3.528880e-01, EvalMSE=5.479718e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.002690e+00, Pen=3.617139e-01, EvalMSE=4.981257e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.653829e+00, Pen=3.342569e-01, EvalMSE=4.802955e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.416674e+00, Pen=2.963171e-01, EvalMSE=4.621862e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.240818e+00, Pen=2.541544e-01, EvalMSE=4.407577e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.094235e+00, Pen=2.152452e-01, EvalMSE=4.108707e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=9.705960e-01, Pen=2.056520e-01, EvalMSE=3.842934e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=8.773707e-01, Pen=1.976270e-01, EvalMSE=3.673059e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=8.088812e-01, Pen=1.948277e-01, EvalMSE=3.604486e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=7.505418e-01, Pen=1.945673e-01, EvalMSE=3.580188e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=6.953346e-01, Pen=1.927708e-01, EvalMSE=3.536875e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=6.454196e-01, Pen=1.868202e-01, EvalMSE=3.481116e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=5.779686e-01, Pen=1.468276e-01, EvalMSE=3.130829e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=3.252779e-01, Pen=5.385048e-02, EvalMSE=1.910493e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.625690e-01, Pen=4.560076e-02, EvalMSE=1.692531e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.167241e-01, Pen=4.031503e-02, EvalMSE=1.555357e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.822141e-01, Pen=3.696254e-02, EvalMSE=1.471794e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.559550e-01, Pen=3.484069e-02, EvalMSE=1.418925e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.346731e-01, Pen=3.338262e-02, EvalMSE=1.366002e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.173233e-01, Pen=3.258221e-02, EvalMSE=1.342836e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.034349e-01, Pen=3.243882e-02, EvalMSE=1.347155e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
