Epoch 0: TrainLoss=2.819895e+02, Pen=4.203990e+00, EvalMSE=6.727482e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.707476e+02, Pen=4.480883e-03, EvalMSE=7.285476e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.471932e+01, Pen=5.129824e-03, EvalMSE=1.212472e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=6.905856e+01, Pen=6.984677e-03, EvalMSE=1.076107e-03 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.718764e+01, Pen=6.091049e-03, EvalMSE=8.929016e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.068457e+01, Pen=5.276473e-03, EvalMSE=7.442727e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.721662e+01, Pen=4.610981e-03, EvalMSE=6.573541e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.495282e+01, Pen=4.196355e-03, EvalMSE=6.082277e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.310508e+01, Pen=3.984782e-03, EvalMSE=5.782401e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.089051e+01, Pen=3.730993e-03, EvalMSE=5.532600e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.812689e+01, Pen=3.728347e-03, EvalMSE=5.302042e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.513410e+01, Pen=3.745752e-03, EvalMSE=4.952633e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.231667e+01, Pen=3.506628e-03, EvalMSE=4.534347e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.970750e+01, Pen=3.219351e-03, EvalMSE=3.970085e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.729642e+01, Pen=2.541791e-03, EvalMSE=3.190943e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.523807e+01, Pen=2.596436e-03, EvalMSE=2.791552e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.348139e+01, Pen=2.795578e-03, EvalMSE=2.458385e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.177165e+01, Pen=3.122721e-03, EvalMSE=2.263688e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.013110e+01, Pen=3.395187e-03, EvalMSE=2.023407e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.863740e+01, Pen=2.550334e-03, EvalMSE=1.686996e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.679523e+01, Pen=2.898324e-04, EvalMSE=1.971901e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.535945e+01, Pen=2.507019e-04, EvalMSE=2.123489e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.414983e+01, Pen=2.712342e-04, EvalMSE=2.127598e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.304720e+01, Pen=2.789403e-04, EvalMSE=2.142990e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.208340e+01, Pen=2.785866e-04, EvalMSE=2.112693e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.120562e+01, Pen=2.708778e-04, EvalMSE=2.067750e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.040633e+01, Pen=2.568797e-04, EvalMSE=2.013433e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=9.694056e+00, Pen=2.385786e-04, EvalMSE=1.953344e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=9.058571e+00, Pen=2.174220e-04, EvalMSE=1.890061e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=8.483428e+00, Pen=1.950189e-04, EvalMSE=1.823731e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=7.958758e+00, Pen=1.726795e-04, EvalMSE=1.754890e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=7.478529e+00, Pen=1.513011e-04, EvalMSE=1.685206e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=7.038204e+00, Pen=1.316382e-04, EvalMSE=1.616427e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
