Epoch 0: TrainLoss=6.161609e+01, Pen=7.489715e-01, EvalMSE=6.762035e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.488597e+01, Pen=1.041107e-01, EvalMSE=6.258405e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.111822e+01, Pen=2.442939e-01, EvalMSE=5.677241e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.224776e+00, Pen=1.362260e-01, EvalMSE=5.271612e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.435886e+00, Pen=1.348090e-01, EvalMSE=4.648525e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.616141e+00, Pen=1.245478e-01, EvalMSE=4.061050e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.103631e+00, Pen=8.646081e-02, EvalMSE=2.943245e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.767594e-01, Pen=4.374291e-02, EvalMSE=1.660821e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.165144e-01, Pen=4.313806e-02, EvalMSE=1.170543e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.349103e-01, Pen=3.925343e-02, EvalMSE=1.038236e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=9.368154e-02, Pen=3.933856e-02, EvalMSE=1.065220e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=7.016289e-02, Pen=4.047730e-02, EvalMSE=1.130185e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=5.517129e-02, Pen=4.138638e-02, EvalMSE=1.187741e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.345868e-02, Pen=4.198364e-02, EvalMSE=1.215925e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.464251e-02, Pen=4.220606e-02, EvalMSE=1.234132e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.821150e-02, Pen=4.247146e-02, EvalMSE=1.260118e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.352594e-02, Pen=4.280825e-02, EvalMSE=1.290518e-04 (h1=7, h_n=0.787562, lr=0.005, loss=mse)
