Epoch 0: TrainLoss=2.242282e+02, Pen=1.159835e+00, EvalMSE=6.705962e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.191761e+02, Pen=2.228393e-04, EvalMSE=7.453984e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 200: TrainLoss=5.140631e+01, Pen=2.669721e-02, EvalMSE=5.880699e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 300: TrainLoss=2.030047e+01, Pen=5.290309e-02, EvalMSE=5.190750e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 400: TrainLoss=9.248099e+00, Pen=5.827240e-02, EvalMSE=4.659056e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.226379e+00, Pen=2.775580e-02, EvalMSE=2.607835e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.340003e+00, Pen=2.673084e-02, EvalMSE=2.093481e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.484379e+00, Pen=2.165549e-02, EvalMSE=1.642309e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.883737e+00, Pen=1.771337e-02, EvalMSE=1.223706e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.497518e+00, Pen=7.713524e-03, EvalMSE=8.625047e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.307450e+00, Pen=7.128324e-03, EvalMSE=7.894851e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.190758e+00, Pen=7.248654e-03, EvalMSE=7.839425e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.104659e+00, Pen=7.521328e-03, EvalMSE=8.173697e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.030239e+00, Pen=8.088963e-03, EvalMSE=8.804881e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=9.678903e-01, Pen=8.984840e-03, EvalMSE=9.592883e-05 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=9.177748e-01, Pen=9.687779e-03, EvalMSE=1.047487e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=8.719290e-01, Pen=9.521977e-03, EvalMSE=1.135252e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=8.282351e-01, Pen=8.786281e-03, EvalMSE=1.226901e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=7.885623e-01, Pen=7.907038e-03, EvalMSE=1.330761e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=7.528800e-01, Pen=7.092445e-03, EvalMSE=1.450636e-04 (h1=2, h_n=0.225018, lr=0.005, loss=mse)
