Epoch 0: TrainLoss=6.866137e+00, Pen=1.350856e+00, EvalMSE=2.931717e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.866096e+00, Pen=4.473463e-01, EvalMSE=2.824022e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.113430e+00, Pen=4.073035e-01, EvalMSE=2.390503e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.361700e+00, Pen=1.802040e-01, EvalMSE=1.729120e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 400: TrainLoss=8.605309e-01, Pen=7.870898e-02, EvalMSE=1.383376e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 500: TrainLoss=5.797130e-01, Pen=4.056065e-02, EvalMSE=1.246750e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.062096e-01, Pen=2.208704e-02, EvalMSE=1.086868e-04 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.795007e-01, Pen=1.730871e-02, EvalMSE=9.787928e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 800: TrainLoss=2.055290e-01, Pen=1.391370e-02, EvalMSE=9.070381e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.595235e-01, Pen=1.148459e-02, EvalMSE=8.489334e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=1.281198e-01, Pen=9.689010e-03, EvalMSE=8.016026e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.055430e-01, Pen=8.587412e-03, EvalMSE=7.645521e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=8.869158e-02, Pen=7.976728e-03, EvalMSE=7.348278e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=7.611459e-02, Pen=7.667051e-03, EvalMSE=7.130484e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=6.672175e-02, Pen=7.525360e-03, EvalMSE=6.995975e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=5.956675e-02, Pen=7.472401e-03, EvalMSE=6.927016e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=5.395412e-02, Pen=7.471348e-03, EvalMSE=6.901467e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=4.941761e-02, Pen=7.505224e-03, EvalMSE=6.899267e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=4.563684e-02, Pen=7.565948e-03, EvalMSE=6.904391e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=4.237799e-02, Pen=7.649045e-03, EvalMSE=6.907116e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=3.947579e-02, Pen=7.750479e-03, EvalMSE=6.903424e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=3.682728e-02, Pen=7.864743e-03, EvalMSE=6.892042e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=3.437930e-02, Pen=7.983583e-03, EvalMSE=6.872746e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=3.211487e-02, Pen=8.098601e-03, EvalMSE=6.846400e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=3.002879e-02, Pen=8.207817e-03, EvalMSE=6.814503e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.810542e-02, Pen=8.311062e-03, EvalMSE=6.776780e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=2.632339e-02, Pen=8.404981e-03, EvalMSE=6.731735e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=2.465762e-02, Pen=8.484181e-03, EvalMSE=6.678350e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=2.308139e-02, Pen=8.540777e-03, EvalMSE=6.616675e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=2.157409e-02, Pen=8.565479e-03, EvalMSE=6.548313e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=2.013004e-02, Pen=8.552043e-03, EvalMSE=6.476576e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.876270e-02, Pen=8.501259e-03, EvalMSE=6.405916e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.749705e-02, Pen=8.421429e-03, EvalMSE=6.340522e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.634832e-02, Pen=8.325631e-03, EvalMSE=6.281852e-05 (h1=16, h_n=1.03495, lr=0.005, loss=mse)
