Epoch 0: TrainLoss=1.225581e+01, Pen=6.259871e-01, EvalMSE=2.790657e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 100: TrainLoss=4.938260e+00, Pen=5.651768e-01, EvalMSE=2.637410e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.549857e+00, Pen=3.150540e-01, EvalMSE=2.226382e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.880030e+00, Pen=2.397887e-01, EvalMSE=2.104194e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.621565e+00, Pen=2.224688e-01, EvalMSE=2.037918e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.144756e+00, Pen=4.872419e-02, EvalMSE=1.298795e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 600: TrainLoss=3.380939e-01, Pen=2.829798e-03, EvalMSE=8.383717e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.213586e-01, Pen=2.899598e-03, EvalMSE=6.849338e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.636127e-02, Pen=3.146083e-03, EvalMSE=6.367358e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 900: TrainLoss=5.693222e-02, Pen=3.413695e-03, EvalMSE=6.111214e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.451369e-02, Pen=3.591769e-03, EvalMSE=5.844267e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.544752e-02, Pen=3.812523e-03, EvalMSE=5.595174e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=2.870413e-02, Pen=4.065451e-03, EvalMSE=5.350198e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=2.366335e-02, Pen=4.308729e-03, EvalMSE=5.137777e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.981149e-02, Pen=4.528353e-03, EvalMSE=4.967601e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.680752e-02, Pen=4.730740e-03, EvalMSE=4.837444e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.438947e-02, Pen=4.915023e-03, EvalMSE=4.748240e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=1.242584e-02, Pen=5.068842e-03, EvalMSE=4.690948e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.090581e-02, Pen=5.174350e-03, EvalMSE=4.649969e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
