Epoch 0: TrainLoss=2.475083e+01, Pen=8.679632e-01, EvalMSE=1.286902e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.783935e+01, Pen=4.857374e-01, EvalMSE=2.313348e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.530974e+01, Pen=1.210697e+00, EvalMSE=2.753895e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.255967e+01, Pen=1.456093e+00, EvalMSE=2.498875e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=9.723327e+00, Pen=4.401928e-01, EvalMSE=1.336517e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.558190e+00, Pen=2.456995e-01, EvalMSE=9.618683e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=6.280092e+00, Pen=1.481459e-01, EvalMSE=1.263863e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=5.498964e+00, Pen=1.167694e-01, EvalMSE=1.948269e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=4.975423e+00, Pen=1.244565e-01, EvalMSE=2.273094e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.576253e+00, Pen=1.362667e-01, EvalMSE=2.186359e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.274349e+00, Pen=1.503790e-01, EvalMSE=1.962346e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.009011e+00, Pen=1.566652e-01, EvalMSE=1.662358e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.777332e+00, Pen=1.506874e-01, EvalMSE=1.449246e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.570781e+00, Pen=1.199340e-01, EvalMSE=1.286594e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.263095e+00, Pen=4.935091e-02, EvalMSE=1.173306e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.914086e+00, Pen=6.967669e-03, EvalMSE=1.001241e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.726916e+00, Pen=5.004835e-03, EvalMSE=9.562733e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.568412e+00, Pen=3.822741e-03, EvalMSE=9.108688e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.427852e+00, Pen=3.102032e-03, EvalMSE=8.606611e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.251173e+00, Pen=2.998534e-03, EvalMSE=7.612832e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.037632e+00, Pen=3.874745e-03, EvalMSE=6.719638e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.907149e+00, Pen=2.691731e-03, EvalMSE=6.768417e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.790867e+00, Pen=1.907085e-03, EvalMSE=6.725051e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.694219e+00, Pen=1.409422e-03, EvalMSE=6.611926e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.615347e+00, Pen=1.061855e-03, EvalMSE=6.524542e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.547927e+00, Pen=8.303750e-04, EvalMSE=6.473435e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.489041e+00, Pen=6.710652e-04, EvalMSE=6.417527e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.436783e+00, Pen=5.605589e-04, EvalMSE=6.361150e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.389750e+00, Pen=4.836082e-04, EvalMSE=6.316205e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.346719e+00, Pen=4.308130e-04, EvalMSE=6.288326e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.294440e+00, Pen=3.844624e-04, EvalMSE=6.241078e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.229354e+00, Pen=3.329745e-04, EvalMSE=6.056135e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.188557e+00, Pen=3.317173e-04, EvalMSE=6.032079e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.153637e+00, Pen=3.354015e-04, EvalMSE=6.089369e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.121009e+00, Pen=3.388382e-04, EvalMSE=6.183395e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.192079e+01, Pen=1.635344e+00, EvalMSE=1.208087e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.543827e+01, Pen=4.799980e-01, EvalMSE=1.875562e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.310089e+01, Pen=1.543690e+00, EvalMSE=2.426058e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.094172e+01, Pen=1.259146e+00, EvalMSE=2.002724e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=8.411450e+00, Pen=3.980909e-01, EvalMSE=1.078219e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.493116e+00, Pen=2.566408e-01, EvalMSE=9.542144e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=5.293554e+00, Pen=2.042071e-01, EvalMSE=1.410877e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
