Epoch 0: TrainLoss=2.475661e+01, Pen=1.273818e+00, EvalMSE=1.301430e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.651706e+01, Pen=3.097634e-01, EvalMSE=1.471111e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.769422e+00, Pen=1.475181e-01, EvalMSE=8.443559e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.634985e+00, Pen=9.985470e-02, EvalMSE=6.221594e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.789169e+00, Pen=6.091388e-02, EvalMSE=5.591850e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.831730e+00, Pen=3.596791e-03, EvalMSE=4.770102e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.044555e+00, Pen=7.907467e-04, EvalMSE=3.380684e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=6.993345e-01, Pen=7.109746e-04, EvalMSE=2.900866e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=5.477377e-01, Pen=6.041481e-04, EvalMSE=2.655229e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=4.769922e-01, Pen=5.412141e-04, EvalMSE=2.484544e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.338259e-01, Pen=5.030487e-04, EvalMSE=2.427459e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.972986e-01, Pen=4.865730e-04, EvalMSE=2.397349e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.683257e-01, Pen=4.889984e-04, EvalMSE=2.333266e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.408709e-01, Pen=5.001881e-04, EvalMSE=2.256418e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.208778e-01, Pen=5.181081e-04, EvalMSE=2.188739e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.034429e-01, Pen=5.476786e-04, EvalMSE=2.117012e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.872565e-01, Pen=5.739533e-04, EvalMSE=2.045167e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.716934e-01, Pen=5.918534e-04, EvalMSE=1.977584e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.565434e-01, Pen=6.043460e-04, EvalMSE=1.908838e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.400587e-01, Pen=6.091065e-04, EvalMSE=1.842672e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.241399e-01, Pen=5.927716e-04, EvalMSE=1.779341e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.086988e-01, Pen=5.623075e-04, EvalMSE=1.680159e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.909350e-01, Pen=5.337645e-04, EvalMSE=1.544013e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.713775e-01, Pen=5.469269e-04, EvalMSE=1.392450e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.559669e-01, Pen=5.616640e-04, EvalMSE=1.288532e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.448156e-01, Pen=5.632509e-04, EvalMSE=1.239047e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.358569e-01, Pen=5.589073e-04, EvalMSE=1.216554e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.277017e-01, Pen=5.585329e-04, EvalMSE=1.211371e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.195587e-01, Pen=5.575091e-04, EvalMSE=1.223195e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.116566e-01, Pen=5.591789e-04, EvalMSE=1.243430e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.051073e-01, Pen=5.639709e-04, EvalMSE=1.260218e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=9.984987e-02, Pen=5.693382e-04, EvalMSE=1.276306e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=9.540667e-02, Pen=5.724839e-04, EvalMSE=1.291787e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=9.145714e-02, Pen=5.810409e-04, EvalMSE=1.300709e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=8.786974e-02, Pen=5.904230e-04, EvalMSE=1.307051e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.283403e+01, Pen=2.266432e-01, EvalMSE=1.270524e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.342966e+01, Pen=2.406482e-01, EvalMSE=1.148407e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=6.022269e+00, Pen=1.685227e-01, EvalMSE=7.822869e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=3.500776e+00, Pen=1.644773e-01, EvalMSE=6.629945e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.145548e+00, Pen=1.679929e-01, EvalMSE=5.883421e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.273931e+00, Pen=1.502383e-01, EvalMSE=5.402466e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.015871e+00, Pen=6.162938e-02, EvalMSE=4.736907e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=7.690033e-01, Pen=4.703381e-03, EvalMSE=3.744497e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.180139e-01, Pen=1.258674e-03, EvalMSE=3.199681e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=5.319930e-01, Pen=1.036126e-03, EvalMSE=2.925290e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.800742e-01, Pen=9.248445e-04, EvalMSE=2.736017e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.329553e-01, Pen=8.614265e-04, EvalMSE=2.615680e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.929853e-01, Pen=8.409355e-04, EvalMSE=2.519167e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.669282e-01, Pen=8.082715e-04, EvalMSE=2.443078e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.467176e-01, Pen=7.976662e-04, EvalMSE=2.399470e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.295892e-01, Pen=7.889430e-04, EvalMSE=2.378459e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.137284e-01, Pen=7.894709e-04, EvalMSE=2.366753e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.983162e-01, Pen=8.005195e-04, EvalMSE=2.360720e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.833489e-01, Pen=8.151215e-04, EvalMSE=2.356434e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.690724e-01, Pen=8.276977e-04, EvalMSE=2.352714e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.553456e-01, Pen=8.332597e-04, EvalMSE=2.344628e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.415158e-01, Pen=8.310915e-04, EvalMSE=2.322995e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.258600e-01, Pen=8.229326e-04, EvalMSE=2.270020e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.073997e-01, Pen=7.959147e-04, EvalMSE=2.180338e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.924364e-01, Pen=8.012264e-04, EvalMSE=2.065168e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.822242e-01, Pen=8.145116e-04, EvalMSE=1.967406e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.746721e-01, Pen=8.232574e-04, EvalMSE=1.908472e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.690437e-01, Pen=8.298255e-04, EvalMSE=1.867049e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.642347e-01, Pen=8.218397e-04, EvalMSE=1.838250e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.603497e-01, Pen=8.242270e-04, EvalMSE=1.814102e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.566441e-01, Pen=8.029619e-04, EvalMSE=1.796341e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.531716e-01, Pen=7.968561e-04, EvalMSE=1.778158e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.498099e-01, Pen=7.983150e-04, EvalMSE=1.759011e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.464909e-01, Pen=8.027196e-04, EvalMSE=1.739536e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.431594e-01, Pen=8.094754e-04, EvalMSE=1.720832e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
