Epoch 0: TrainLoss=7.047710e+00, Pen=6.007589e-01, EvalMSE=1.281684e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 100: TrainLoss=3.358357e+00, Pen=4.038890e-01, EvalMSE=1.048125e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.537259e+00, Pen=2.471002e-01, EvalMSE=7.664615e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.566264e-01, Pen=1.244681e-01, EvalMSE=5.511947e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 400: TrainLoss=3.871886e-01, Pen=2.528820e-02, EvalMSE=4.108012e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 500: TrainLoss=2.354689e-01, Pen=7.540842e-03, EvalMSE=3.426967e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.615037e-01, Pen=5.073586e-03, EvalMSE=3.130223e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.118372e-01, Pen=4.093983e-03, EvalMSE=2.871683e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 800: TrainLoss=8.349629e-02, Pen=3.551060e-03, EvalMSE=2.660440e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.815436e-02, Pen=3.339707e-03, EvalMSE=2.540311e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.962825e-02, Pen=3.295358e-03, EvalMSE=2.482209e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=5.421112e-02, Pen=3.299638e-03, EvalMSE=2.433658e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.985504e-02, Pen=3.326860e-03, EvalMSE=2.371734e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.503339e-02, Pen=3.324147e-03, EvalMSE=2.266410e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.985343e-02, Pen=3.286140e-03, EvalMSE=2.132293e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.484571e-02, Pen=3.226542e-03, EvalMSE=1.993153e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.073062e-02, Pen=3.169782e-03, EvalMSE=1.878555e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
