Epoch 0: TrainLoss=4.853659e+00, Pen=2.709767e+00, EvalMSE=1.291359e-04 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 100: TrainLoss=2.290607e+00, Pen=4.031784e-01, EvalMSE=1.102318e-04 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.107861e+00, Pen=3.068506e-01, EvalMSE=8.157983e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.524348e-01, Pen=2.460694e-01, EvalMSE=6.342446e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 400: TrainLoss=2.231838e-01, Pen=1.116568e-01, EvalMSE=4.727819e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.146436e-01, Pen=2.580464e-02, EvalMSE=3.663348e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 600: TrainLoss=6.487424e-02, Pen=1.172312e-02, EvalMSE=3.181559e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 700: TrainLoss=4.507495e-02, Pen=9.585590e-03, EvalMSE=2.989011e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 800: TrainLoss=3.413814e-02, Pen=8.476864e-03, EvalMSE=2.884122e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 900: TrainLoss=2.696870e-02, Pen=7.965963e-03, EvalMSE=2.809052e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=2.251242e-02, Pen=7.659581e-03, EvalMSE=2.758027e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=1.941672e-02, Pen=7.415453e-03, EvalMSE=2.711830e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.699368e-02, Pen=7.256004e-03, EvalMSE=2.669329e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.493337e-02, Pen=7.133123e-03, EvalMSE=2.628223e-05 (h1=16, h_n=0.801002, lr=0.005, loss=mse)
