Epoch 0: TrainLoss=2.891721e+01, Pen=8.252889e-01, EvalMSE=1.297620e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.799156e+01, Pen=3.461950e-01, EvalMSE=1.447171e-04 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 200: TrainLoss=8.775934e+00, Pen=1.381692e-01, EvalMSE=8.703879e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 300: TrainLoss=5.686683e+00, Pen=1.138567e-01, EvalMSE=7.599491e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 400: TrainLoss=4.043068e+00, Pen=1.344428e-01, EvalMSE=7.129996e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 500: TrainLoss=2.120261e+00, Pen=1.518477e-01, EvalMSE=6.050894e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.480995e+00, Pen=1.318769e-01, EvalMSE=5.248963e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.147252e+00, Pen=1.336264e-01, EvalMSE=5.117541e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.006487e+00, Pen=1.256730e-01, EvalMSE=4.902202e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 900: TrainLoss=9.018749e-01, Pen=1.146095e-01, EvalMSE=4.707341e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=8.059823e-01, Pen=1.031812e-01, EvalMSE=4.512320e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=7.401137e-01, Pen=9.262177e-02, EvalMSE=4.330270e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=6.963047e-01, Pen=8.380735e-02, EvalMSE=4.214843e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.926524e-01, Pen=7.913149e-03, EvalMSE=3.703561e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.839685e-01, Pen=2.595274e-03, EvalMSE=2.322367e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.042384e-01, Pen=1.188982e-03, EvalMSE=1.908886e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.669546e-01, Pen=1.083696e-03, EvalMSE=1.769076e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.431657e-01, Pen=1.014549e-03, EvalMSE=1.702219e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.251273e-01, Pen=9.617119e-04, EvalMSE=1.665426e-05 (h1=7, h_n=0.350438, lr=0.005, loss=mse)
