 bbn file,mixture,label,h1_file,best_epoch,best_eval_mse,h1,h_n,lr,loss
mixture1_MLP_20_sigmoid_outReLU_h1_2p00.txt,1,MLP_20_sigmoid_outReLU,2.0,3400,6.109336e-05,2.0,0.225018,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_7p00.txt,1,MLP_20_sigmoid_outReLU,7.0,3300,6.980533e-05,7.0,0.787562,0.005,relative
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,3400,0.0002063076,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_16p00.txt,1,MLP_20_sigmoid_outReLU,16.0,3400,0.00031086,16.0,1.60806,0.005,mse
mixture1_MLP_20_sigmoid_outSigmoid_Aauto_h1_2p00.txt,1,MLP_20_sigmoid_outSigmoid_Aauto,2.0,2100,5.835761e-05,2.0,0.225018,0.005,mse
mixture1_MLP_20_sigmoid_outSigmoid_Aauto_h1_7p00.txt,1,MLP_20_sigmoid_outSigmoid_Aauto,7.0,3400,8.237357e-05,7.0,0.787562,0.005,mse
mixture1_MLP_20_sigmoid_outSigmoid_Aauto_h1_12p00.txt,1,MLP_20_sigmoid_outSigmoid_Aauto,12.0,3400,0.0002007631,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outSigmoid_Aauto_h1_16p00.txt,1,MLP_20_sigmoid_outSigmoid_Aauto,16.0,3400,0.0003107287,16.0,1.60806,0.005,mse
mixture1_MLP_30-20_sigmoid_outReLU_h1_2p00.txt,1,MLP_30-20_sigmoid_outReLU,2.0,2000,2.683317e-05,2.0,0.201008,0.005,mse
mixture1_MLP_30-20_sigmoid_outReLU_h1_7p00.txt,1,MLP_30-20_sigmoid_outReLU,7.0,3400,5.211354e-05,7.0,0.703526,0.005,mse
mixture1_MLP_30-20_sigmoid_outReLU_h1_12p00.txt,1,MLP_30-20_sigmoid_outReLU,12.0,3400,0.0001994384,12.0,1.20605,0.005,mse
mixture1_MLP_30-20_sigmoid_outReLU_h1_16p00.txt,1,MLP_30-20_sigmoid_outReLU,16.0,1300,0.0003058004,16.0,1.60806,0.005,mse
mixture1_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_2p00.txt,1,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,1100,2.802273e-05,2.0,0.225018,0.005,mse
mixture1_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_7p00.txt,1,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,3400,4.651873e-05,7.0,0.703526,0.005,mse
mixture1_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_12p00.txt,1,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,3400,0.000197359,12.0,1.20605,0.005,mse
mixture1_MLP_30-20_sigmoid_outSigmoid_Aauto_h1_16p00.txt,1,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,3300,0.0003078239,16.0,1.60806,0.005,mse
mixture2_MLP_20_sigmoid_outReLU_h1_2p00.txt,2,MLP_20_sigmoid_outReLU,2.0,900,0.0001503778,2.0,0.115663,0.005,mse
mixture2_MLP_20_sigmoid_outReLU_h1_7p00.txt,2,MLP_20_sigmoid_outReLU,7.0,3400,6.951893e-05,7.0,0.40482,0.005,mse
