mixture,architecture,h1,lambda,mean_val_nll,std_val_nll,n_runs
1,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.0,3.7925566911697386,0.36037362158917735,10
1,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.01,3.748849129676819,0.13629976259444365,10
1,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.1,3.8158211708068848,0.3059513078799185,10
1,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.0,3.1611469745635987,0.01141719694243833,10
1,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.01,3.175086832046509,0.07675151724938357,10
1,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.1,3.1915844917297362,0.0557482670583472,10
1,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.0,3.368601155281067,0.0116407087101959,10
1,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.01,3.3753737688064573,0.015387162391575537,10
1,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.1,3.3575644493103027,0.009534513278379403,10
1,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.0,3.5600890159606933,0.009464747970471064,10
1,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.01,3.551104950904846,0.004578117755174871,10
1,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.1,3.5294296741485596,0.005891239467862573,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.0,3.2529457569122315,0.11895308910053569,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.01,3.276067018508911,0.11233007407241614,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,2.0,0.1,3.2383230924606323,0.10831085380409128,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.0,3.155786561965942,0.010717701842633497,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.01,3.1565845251083373,0.00768282690596002,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,7.0,0.1,3.147469425201416,0.0059947513070130135,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.0,3.3765127658843994,0.006072053062829074,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.01,3.3737567186355593,0.005894247085549129,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,12.0,0.1,3.346427798271179,0.010964626403295069,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.0,3.5601895570755007,0.009565878814005377,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.01,3.5505048513412474,0.003414695223432111,10
1,MLP_30-20_sigmoid_outSigmoid_Aauto,16.0,0.1,3.5273613214492796,0.016692460764333526,10
1,MLP_30-20_sigmoid_outReLU,2.0,0.0,3.283219647407532,0.16633887015415064,10
1,MLP_30-20_sigmoid_outReLU,2.0,0.01,3.2349021673202514,0.11373531861642447,10
1,MLP_30-20_sigmoid_outReLU,2.0,0.1,3.2526333570480346,0.044792790028204854,10
1,MLP_30-20_sigmoid_outReLU,7.0,0.0,3.155797743797302,0.0088961133509183,10
1,MLP_30-20_sigmoid_outReLU,7.0,0.01,3.1560531139373778,0.015585871999274626,10
1,MLP_30-20_sigmoid_outReLU,7.0,0.1,3.1439618110656737,0.00753525289933231,10
1,MLP_30-20_sigmoid_outReLU,12.0,0.0,3.3755420207977296,0.005183112145543319,10
1,MLP_30-20_sigmoid_outReLU,12.0,0.01,3.3725229263305665,0.002697422474120683,10
1,MLP_30-20_sigmoid_outReLU,12.0,0.1,3.3496435642242433,0.009085794169680795,10
1,MLP_30-20_sigmoid_outReLU,16.0,0.0,3.558941125869751,0.006661678334948977,10
1,MLP_30-20_sigmoid_outReLU,16.0,0.01,3.5497610330581666,0.0038348410136875483,10
1,MLP_30-20_sigmoid_outReLU,16.0,0.1,3.5134161949157714,0.030869395809798465,10
1,MLP_20_sigmoid_outReLU,2.0,0.0,3.815750575065613,0.27508482505706816,10
1,MLP_20_sigmoid_outReLU,2.0,0.01,3.7633793354034424,0.18405050281018673,10
1,MLP_20_sigmoid_outReLU,2.0,0.1,3.6503275871276855,0.12199270001529436,10
1,MLP_20_sigmoid_outReLU,7.0,0.0,3.2008827209472654,0.08659479166184471,10
1,MLP_20_sigmoid_outReLU,7.0,0.01,3.1780704259872437,0.041856845247321,10
1,MLP_20_sigmoid_outReLU,7.0,0.1,3.1722052574157713,0.03773514302708994,10
1,MLP_20_sigmoid_outReLU,12.0,0.0,3.3716872453689577,0.010016681773295826,10
1,MLP_20_sigmoid_outReLU,12.0,0.01,3.37165687084198,0.011974257514600265,10
1,MLP_20_sigmoid_outReLU,12.0,0.1,3.352266764640808,0.011463474503392303,10
1,MLP_20_sigmoid_outReLU,16.0,0.0,3.5528817892074587,0.005065704081012235,10
1,MLP_20_sigmoid_outReLU,16.0,0.01,3.548030638694763,0.0045965644439982635,10
1,MLP_20_sigmoid_outReLU,16.0,0.1,3.5301666021347047,0.009621857621700026,10
2,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.0,6.109434795379639,0.2739865010005521,10
2,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.01,6.067994451522827,0.5399966108183034,10
2,MLP_20_sigmoid_outSigmoid_Aauto,2.0,0.1,6.093823194503784,0.20766337003933524,10
2,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.0,3.863201355934143,0.050674785920493855,10
2,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.01,3.862434196472168,0.053788031597666236,10
2,MLP_20_sigmoid_outSigmoid_Aauto,7.0,0.1,3.858533811569214,0.0633972278733632,10
2,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.0,3.7544549465179444,0.04954036480493802,10
2,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.01,3.7292346239089964,0.019613826828251635,10
2,MLP_20_sigmoid_outSigmoid_Aauto,12.0,0.1,3.7479490518569945,0.03444559683168298,10
2,MLP_20_sigmoid_outSigmoid_Aauto,16.0,0.0,3.799222993850708,0.015717929370955484,10
