file,mixture,label,h1_file,epoch,train_loss,penalty,eval_mse,h1,h_n,lr,loss
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,0,24.43598,,0.0006693071,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,100,6.60956,,0.0007473856,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,200,2.801179,,0.0007343654,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,300,1.941007,,0.0006663624,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,400,1.439558,,0.0006130935,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,500,1.121421,,0.0005632184,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,600,0.911283,,0.000530339,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,700,0.7639021,,0.0005073059,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,800,0.5573958,,0.0004324308,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,900,0.444136,,0.0004022452,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1000,0.3679881,,0.0003789407,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1100,0.3146922,,0.0003683545,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1200,0.2752392,,0.0003603238,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1300,0.2426031,,0.0003532482,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1400,0.2075197,,0.0003474158,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1500,0.1793555,,0.0003393229,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1600,0.1538703,,0.0003282935,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1700,0.1311903,,0.0003155413,12.0,1.20605,0.005,mse
mixture1_MLP_20_sigmoid_outReLU_h1_12p00.txt,1,MLP_20_sigmoid_outReLU,12.0,1800,0.1102683,,0.0003024506,12.0,1.20605,0.005,mse
